_0__________22222222222244440444 ...................2.....40.....

_________22222222222244400044333 ................2.....40........

______22222222222224000003333333 .............2.....40..........3

___22222222222222400333333333333 ..........2.....40..........3...

22222222222224400__3333333333333 .......2.....40..........3......

2222222224444___3333333334400003 ...2.....40..........3........4.

2222224444__333333333344000000__ 2.....40..........3........4....

223______333333333344400000_____ ...40..........3........4.......

40_4___33333333344400000________ 40..........3........4..........

2___33333333334440000___________ .........3........4.............

222333333333444400______________ .....3........4.................

3333333333344444______________22 ..3........4....................

333333344444__________________22 ........4.......................

343444_______________________222 .....4..........................

403________________3333_________ ..4.............................

_________________________3333333 .............................0..

_________________________3333333 ..........................0.....

_______________________333333333 ......................0.........

_____________________33333333333 ...................0............

__________________33333333333333 ................0...............

_____________3333333333444444___ .............0..................

__________333333333344444_______ ..........0.....................

________333333333344440_________ ......0.........................

_____33333333334444_____________ ...0............................

_3333333333333_4________________ 0...............................

________________________________ 0...............................

______________________3333333333 ................................

_0_________________________33333 ................................

____________________________1111 ................................

_______________________222222222 ..............................2.

__________________22222222222222 ...........................2..4.

________________2222222222222222 .......................2..4...0.

______________222222222224444444 ....................2..4...0....

___________222222222222244444444 .................2..4...0.......

________222222222222222222222222 ..............2..4...0..........

___22222222222222222200000000000 ...........2..4...0.............

22222222222222222222200000000___ .......2..4...0.................

2222222222222222222400000000____ ....2..4...0....................

22222222222222222440000000______ .2..4...0.......................

22222222222222444000000_________ .4...0..........................

22222222222444000000____________ ..0.............................

_______________________222222222 ................................

_______________________333333333 ................................

___44____________________3333333 .............................1..

_______________________111111___ ..........................1.....

___________________1111111___444 .......................1........

_________________111111___444444 ...................1........40..

_______________11111___444444444 ................1........40.....

____________11111___44444444____ .............1........40........

_________11111___444440222222222 ..........1........40...........

______1111____444440_22222222222 .......1........40............1.

___11111____444444______11111___ ...1........40............1.....

1111____444444______111111_____4 1........40............1.......4

1____444444______111111___444440 ......40............1.......4...

__44444________111111___44444444 ...40............1.......4...0..

____________11111____44440000___ 40............1.......4...0.....

_________11111____4444000_______ ..........1.......4...0......1..

______11111____444400___________ .......1.......4...0......1.....

___11111____444444______________ ....1.......4...0......1........

11111_____444444________1111___4 .1.......4...0......1...........

11____444444________1111____4444 ......4...0......1.............4

___444444________1111____4400000 ..4...0......1.............40...

44444_________11111___4440000000 ...0......1.............40......

___________1111____444000000011_ 0......1.............40.........

___________111111___4444444_____ .............1..............4...

_______1111111___4444444________ ..........1..............4......

___11111111___444444____________ .......1..............4.........

_111111____444444_______________ ....1..............4............

1111____444444______________1111 1..............4................

1____4444444__________________11 ............4...................

44444444______________________11 .........4.....................1

40_4____________________11111111 ......4.....................1...

______________________111111____ ...4.....................1......

__________________111111____4444 .....................1..........

_______________1111111____444444 ..................1...........40

_____________111111_____4444444_ ...............1...........40...

__________111111_____4444444___1 ............1...........40......

______1111111____444444_________ .........1...........40.........

___111111_____444444____________ .....1...........40.............

11111______444444_______________ ..1...........40................

11________4444______________111_ ...........40...................

____4444444_____________________ ........40......................

_4444444________________________ .....40.........................

____________________________1111 .40.............................

____________________________1166 ................................

_3__3333333333344444____________ ................................

________________3333334444___111 ................................

________________________________ ................................

4__4____________________________ ................................

_____4444444___111111____4444444 ................................

400_____22222224444444__________ 0...............................

400000__________22200000000_____ ................................

40__000____33333___222222_______ ................................

00000_333333333_2222222444444___ ................................

_________________________1111111 ................................

___________3333333300_____222222 ................................

_____________3333333322222222444 ................................

________________________________ ................................

________________________________ ................................

33333334444_____________________ ................................

32222___________________________ ................................

_2222222________________________ ................................

________________________________ ................................

55___________________22222222222 ..............................3.

0______________22222222223333333 ...........................3....

